,Code_Postal,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,Ville
1706,95340,,,4.0,,48.0,,3.0,9.0,18.0,29.0,40.0,,RONQUEROLLES
1707,95350,,1.0,,,,11.0,,137.0,,1.0,14.0,,SAINT-BRICE-SOUS-FORET
1708,95360,,,4.0,7.0,7.0,3.0,6.0,4.0,2.0,21.0,74.0,,MONTMAGNY
1709,95370,,1.0,,11.0,3.0,1.0,5.0,11.0,26.0,6.0,98.0,,MONTIGNY-LES-CORMEILLES
1710,95380,,1.0,3.0,6.0,7.0,8.0,19.0,7.0,39.0,9.0,7.0,,PUISEUX-EN-FRANCE
1711,95390,,,,2.0,4.0,10.0,1.0,,1.0,,1.0,,SAINT-PRIX
1712,95400,3.0,76.0,40.0,19.0,62.0,15.0,43.0,49.0,42.0,4.0,25.0,6.0,ARNOUVILLE
1713,95410,,,,9.0,,,1.0,,2.0,,,,GROSLAY
1714,95420,,,2.0,17.0,,,12.0,,6.0,11.0,5.0,,OMERVILLE
1715,95430,,4.0,10.0,,6.0,5.0,1.0,1.0,9.0,,1.0,,BUTRY-SUR-OISE
1716,95440,,,2.0,13.0,1.0,,8.0,,31.0,,,,ECOUEN
1717,95450,,,,,,,,,,,1.0,,GOUZANGREZ
1718,95460,1.0,,1.0,10.0,6.0,,6.0,,1.0,,3.0,,EZANVILLE
1719,95470,,6.0,22.0,4.0,3.0,,7.0,2.0,24.0,,15.0,,SURVILLIERS
1720,95480,,10.0,95.0,9.0,45.0,50.0,3.0,8.0,1.0,22.0,50.0,,PIERRELAYE
1721,95490,,,2.0,,,,6.0,4.0,1.0,1.0,6.0,,VAUREAL
1722,95500,,10.0,14.0,31.0,28.0,57.0,81.0,36.0,109.0,25.0,33.0,8.0,GONESSE
1723,95520,,7.0,1.0,3.0,15.0,10.0,6.0,7.0,21.0,18.0,50.0,1.0,OSNY
1724,95540,,,,4.0,2.0,8.0,2.0,6.0,3.0,,29.0,,MERY-SUR-OISE
1725,95550,,,,,34.0,3.0,,6.0,5.0,1.0,3.0,,BESSANCOURT
1726,95560,,,,7.0,,,22.0,,,,1.0,,MONTSOULT
1727,95570,,,,,3.0,2.0,5.0,,5.0,7.0,5.0,,ATTAINVILLE
1728,95580,,1.0,,,,,,,,,,,MARGENCY
1729,95590,,,,,,,,,,,27.0,2.0,NOINTEL
1730,95600,,1.0,3.0,17.0,67.0,2.0,22.0,8.0,4.0,,5.0,,EAUBONNE
1731,95610,,12.0,20.0,,4.0,7.0,1.0,5.0,1.0,2.0,1.0,,ERAGNY
1732,95620,,,,,5.0,2.0,,,,,1.0,,PARMAIN
1733,95630,,,3.0,,,,,,,3.0,18.0,,MERIEL
1734,95640,,,,,,,,1.0,,,3.0,,LE HEAULME
1735,95650,,,,,,,,,,12.0,,,BOISSY-L'AILLERIE
1736,95660,,,,,,,,,,,21.0,,CHAMPAGNE-SUR-OISE
1737,95670,,,,4.0,,,,,5.0,,1.0,,MARLY-LA-VILLE
1738,95680,,,,,,,,,,,1.0,,MONTLIGNON
1739,95700,,1.0,,2.0,6.0,9.0,511.0,699.0,160.0,68.0,33.0,,ROISSY-EN-FRANCE
1740,95750,,,,,,,3.0,,,,,,LE BELLAY-EN-VEXIN
1741,95800,11.0,81.0,215.0,174.0,259.0,121.0,180.0,93.0,218.0,168.0,202.0,18.0,COURDIMANCHE
1742,95850,,1.0,,,,,,,,,,,JAGNY-SOUS-BOIS
1743,95870,2.0,11.0,22.0,55.0,131.0,86.0,39.0,23.0,49.0,18.0,42.0,5.0,BEZONS
1744,95880,,3.0,,6.0,3.0,3.0,7.0,23.0,104.0,46.0,34.0,,ENGHIEN-LES-BAINS
1745,97300,,,,,,,,,,,,9.0,CAYENNE
1746,97313,,,,,,,,,,1.0,,,SAINT-GEORGES
1747,97400,,,,,,,1.0,,1.0,,1.0,,SAINT-DENIS
1748,97434,,,,,,,,,,4.0,,,
1749,97460,,,,,,,,,,,2.0,,SAINT-PAUL
1750,97490,,2.0,,,,,,,3.0,,,,
1751,98000,,,,,,,,2.0,,,2.0,,
