,monthly,departement,territoire,status_ADMIN_SOLIGUIDE,status_ADMIN_TERRITORY,status_PRO
58,2021-03,Seine-Saint-Denis,93,782.0,0.0,89.0
59,2021-03,Seine-et-Marne,77,18.0,0.0,0.0
60,2021-03,Val-d'Oise,95,449.0,0.0,24.0
61,2021-03,Val-de-Marne,94,416.0,0.0,57.0
62,2021-03,Yvelines,78,167.0,0.0,363.0
63,2021-04,Ain,01,0.0,0.0,7.0
64,2021-04,Alpes-Maritimes,06,603.0,0.0,55.0
65,2021-04,Bas-Rhin,67,248.0,0.0,23.0
66,2021-04,Bouches-du-Rhône,13,0.0,0.0,10.0
67,2021-04,Essonne,91,106.0,0.0,1.0
68,2021-04,Gironde,33,194.0,0.0,51.0
69,2021-04,Hauts-de-Seine,92,194.0,0.0,25.0
70,2021-04,Indre,36,0.0,0.0,132.0
71,2021-04,Loire-Atlantique,44,423.0,0.0,58.0
72,2021-04,Paris,75,292.0,0.0,105.0
73,2021-04,Seine-Saint-Denis,93,821.0,0.0,51.0
74,2021-04,Seine-et-Marne,77,785.0,0.0,2.0
75,2021-04,Val-d'Oise,95,274.0,0.0,58.0
76,2021-04,Val-de-Marne,94,442.0,0.0,47.0
77,2021-04,Yvelines,78,387.0,0.0,187.0
78,2021-05,Alpes-Maritimes,06,801.0,0.0,50.0
79,2021-05,Bas-Rhin,67,218.0,0.0,10.0
80,2021-05,Bouches-du-Rhône,13,0.0,0.0,1.0
81,2021-05,Charente,16,0.0,0.0,7.0
82,2021-05,Dordogne,24,0.0,0.0,14.0
83,2021-05,Essonne,91,444.0,0.0,5.0
84,2021-05,Gironde,33,198.0,0.0,49.0
85,2021-05,Hauts-de-Seine,92,80.0,0.0,15.0
86,2021-05,Loire-Atlantique,44,134.0,0.0,6.0
87,2021-05,Paris,75,359.0,0.0,77.0
88,2021-05,Seine-Saint-Denis,93,511.0,0.0,37.0
89,2021-05,Seine-et-Marne,77,313.0,0.0,3.0
90,2021-05,Val-d'Oise,95,390.0,0.0,0.0
91,2021-05,Val-de-Marne,94,357.0,0.0,38.0
92,2021-05,Yvelines,78,74.0,0.0,12.0
93,2021-06,Ain,01,0.0,0.0,2.0
94,2021-06,Alpes-Maritimes,06,1287.0,0.0,48.0
95,2021-06,Ardennes,08,1.0,0.0,0.0
96,2021-06,Bas-Rhin,67,742.0,0.0,252.0
